NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_BLOCO;NU_POSICAO;CO_ITEM;TP_SERIE;TP_DISCIPLINA;NU_DESCRITOR_HABILIDADE;DS_GABARITO;TP_RESPOSTA_ITEM;TP_MODELO_TRI;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;NU_PARAM_B1;NU_PARAM_B2;NU_PARAM_B3;NU_PARAM_B4;IN_ITEM_COMUM
2025;23;CE;1;3;120;2;1;D03;A;3;2;0.029410000000000;603.982230000000000;0.195840000000000;;;;;0
2025;23;CE;1;4;117478;2;1;D02;C;3;2;0.043120000000000;657.772590000000000;0.112290000000000;;;;;1
2025;23;CE;5;2;119;2;1;D04;A;3;2;0.037900000000000;772.019110000000000;0.281230000000000;;;;;0
2025;23;CE;4;2;117;2;1;D08;A;3;2;0.018850000000000;776.259660000000000;0.244560000000000;;;;;0
2025;23;CE;6;2;116;2;1;D05;D;3;2;0.065320000000000;730.851980000000000;0.164800000000000;;;;;0
2025;23;CE;6;4;113;2;1;D04;B;3;2;0.044050000000000;791.113560000000000;0.299720000000000;;;;;0
2025;23;CE;8;4;111;2;1;D08;D;3;2;0.029800000000000;759.762550000000000;0.114330000000000;;;;;0
2025;23;CE;3;3;117482;2;1;D05;D;3;2;0.034380000000000;751.669690000000000;0.175800000000000;;;;;1
2025;23;CE;7;2;110;2;1;D08;A;3;2;0.035650000000000;784.545530000000000;0.245970000000000;;;;;0
2025;23;CE;10;4;109;2;1;D06;A;3;2;0.035680000000000;752.991970000000000;0.219600000000000;;;;;0
2025;23;CE;10;2;108;2;1;D07;A;3;2;0.021540000000000;819.797230000000000;0.278620000000000;;;;;0
2025;23;CE;7;4;105;2;1;D07;A;3;2;0.022290000000000;744.356340000000000;0.181590000000000;;;;;0
2025;23;CE;8;3;103;2;1;D06;A;3;2;0.040270000000000;756.032900000000000;0.203190000000000;;;;;0
2025;23;CE;8;2;102;2;1;D04;C;3;2;0.038290000000000;757.481750000000000;0.349960000000000;;;;;0
2025;23;CE;7;1;101;2;1;D05;B;3;2;0.027200000000000;769.684580000000000;0.266950000000000;;;;;0
2025;23;CE;3;1;117535;2;1;D02;D;3;2;0.039590000000000;659.808770000000000;0.064480000000000;;;;;1
2025;23;CE;4;1;112;2;1;D06;C;3;2;0.039270000000000;742.143640000000000;0.237130000000000;;;;;0
2025;23;CE;3;6;117512;2;1;D06;D;3;2;0.020010000000000;814.223440000000000;0.111010000000000;;;;;1
2025;23;CE;3;5;117496;2;1;D01;C;3;2;0.033710000000000;651.362080000000000;0.086780000000000;;;;;1
2025;23;CE;6;1;118;2;1;D07;A;3;2;0.045690000000000;770.155470000000000;0.269140000000000;;;;;0
